,Distance,1D_1yr,1D_2yr,1D_5yr,1D_10yr,1D_20yr
418,345.5694,0.26926,0.27234,0.29117,0.32053,0.34598
419,346.3994,0.26926,0.27234,0.29114,0.32049,0.34597
420,347.2294,0.26926,0.27234,0.29111,0.32045,0.34596
421,348.0494,0.26926,0.27234,0.29108,0.32041,0.34595
422,348.8794,0.26926,0.27234,0.29105,0.32038,0.34593
423,349.7094,0.26927,0.27234,0.29102,0.32034,0.34592
424,350.5294,0.26927,0.27234,0.29099,0.3203,0.34591
425,351.3594,0.26927,0.27234,0.29096,0.32027,0.3459
426,352.1894,0.26927,0.27234,0.29093,0.32023,0.34588
427,353.0094,0.26927,0.27234,0.29091,0.32019,0.34587
428,353.8394,0.26927,0.27234,0.29088,0.32016,0.34586
